date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:20	208805/208805	---M-Z	200	added ('OK')	text/html	etag:%2232fa5-62b463bb-dc0a906331deec5d;gz%22	https://andit.co/projects/html/and-tour/index.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/index.html	(from )
11:50:20	254/254	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Jul%202022%2006:20:20%20GMT	https://andit.co/robots.txt		(from )
11:50:23	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-62b463dd-9665056290af7fed;gz%22	https://andit.co/projects/html/and-tour/assets/css/bootstrap.min.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/bootstrap.min.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:26	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-62b463dd-14099fcfb6cc4679;gz%22	https://andit.co/projects/html/and-tour/assets/css/animate.min.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/animate.min.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:29	56854/56854	---M-Z	200	added ('OK')	text/css	etag:%22de16-62b463df-fca51018e5bf927b;gz%22	https://andit.co/projects/html/and-tour/assets/css/fontawesome.all.min.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/fontawesome.all.min.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:29	80533/80533	---M-Z	200	added ('OK')	text/css	etag:W/%2213a95-GT7jENNppf/cnpgQOlL+nX8dUxI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.2/font/bootstrap-icons.css	E:/hawkscodework/andtourwebsite/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.2/font/bootstrap-icons.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:29	4201/4201	---M-Z	200	added ('OK')	text/css	etag:%221069-62b463e2-a9db22dfff9c27a4;gz%22	https://andit.co/projects/html/and-tour/assets/css/owl.carousel.min.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/owl.carousel.min.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:30	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-62b463e2-b6f3b8311ac26452;gz%22	https://andit.co/projects/html/and-tour/assets/css/owl.theme.default.min.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/owl.theme.default.min.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:30	37709/37709	---M-Z	200	added ('OK')	text/css	etag:%22934d-62b463e1-739798df09b47ed0;gz%22	https://andit.co/projects/html/and-tour/assets/css/navber.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/navber.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:31	7084/7084	---M-Z	200	added ('OK')	text/css	etag:%221bac-62b463df-cdbec6139b92b871;gz%22	https://andit.co/projects/html/and-tour/assets/css/meanmenu.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/meanmenu.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:31	74314/74314	---M-Z	200	added ('OK')	text/css	etag:%221224a-62b463e8-6a8236c723b79ba;gz%22	https://andit.co/projects/html/and-tour/assets/css/style.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/style.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:31	7955/7955	---M-Z	200	added ('OK')	text/css	etag:%221f13-62b463e5-cbaa95d957d48d31;gz%22	https://andit.co/projects/html/and-tour/assets/css/responsive.css	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/css/responsive.css	(from https://andit.co/projects/html/and-tour/index.html)
11:50:32	5052/5052	---M--	200	added ('OK')	image/png	etag:%2213bc-62b463ea-e987b55881a06501;;;%22	https://andit.co/projects/html/and-tour/assets/img/favicon.png	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/img/favicon.png	(from https://andit.co/projects/html/and-tour/index.html)
11:50:32	29092/29092	---M-Z	200	added ('OK')	text/html	etag:%2271a4-62b463b8-d5d9218c097c34cb;gz%22	https://andit.co/projects/html/and-tour/login.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/login.html	(from https://andit.co/projects/html/and-tour/index.html)
11:50:33	30484/30484	---M-Z	200	added ('OK')	text/html	etag:%227714-62b463c0-ce94a68417e23270;gz%22	https://andit.co/projects/html/and-tour/register.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/register.html	(from https://andit.co/projects/html/and-tour/index.html)
11:50:33	4983/4983	---M--	200	added ('OK')	image/png	etag:%221377-62b463ea-6738ff2d070be7ed;;;%22	https://andit.co/projects/html/and-tour/assets/img/logo.png	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/assets/img/logo.png	(from https://andit.co/projects/html/and-tour/index.html)
11:50:34	61792/61792	---M-Z	200	added ('OK')	text/html	etag:%22f160-62b463cd-67ef9ffe9458a912;gz%22	https://andit.co/projects/html/and-tour/tour-search.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/tour-search.html	(from https://andit.co/projects/html/and-tour/index.html)
11:50:34	84767/84767	---M-Z	200	added ('OK')	text/html	etag:%2214b1f-62b463cb-22a43dfd279dbade;gz%22	https://andit.co/projects/html/and-tour/tour-details.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/tour-details.html	(from https://andit.co/projects/html/and-tour/index.html)
11:50:35	48512/48512	---M-Z	200	added ('OK')	text/html	etag:%22bd80-62b463c9-f0570b63140f835e;gz%22	https://andit.co/projects/html/and-tour/tour-booking-submission.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/tour-booking-submission.html	(from https://andit.co/projects/html/and-tour/index.html)
11:50:35	58578/58578	---M-Z	200	added ('OK')	text/html	etag:%22e4d2-62b463c7-cd1a913c2758d9fe;gz%22	https://andit.co/projects/html/and-tour/top-destinations.html	E:/hawkscodework/andtourwebsite/andit.co/projects/html/and-tour/top-destinations.html	(from https://andit.co/projects/html/and-tour/index.html)
